# Valores de referência de tools/regression_check.R.
# Gerado com --update; cada linha é uma medida e a tolerância com que é comparada.
# Gerado em 2026-09-25 | método 1.9 | última importação 2026-09-25T11:28:47+0100
# Anos fixados: indicadores 2024, triénio 2024, censo 2021
"key","kind","value","tol","note"
"amplitude.fertility_index.max","valor",3.16770186335404,0.01,""
"amplitude.fertility_index.min","valor",0,0.01,""
"amplitude.life_expectancy.max","valor",85.5413259873744,0.01,""
"amplitude.life_expectancy.min","valor",65.0977204290114,0.01,""
"amplitude.life_expectancy_65.max","valor",23.6763405534798,0.01,""
"amplitude.life_expectancy_65.min","valor",13.1932639355464,0.01,""
"amplitude.purchasing_power.max","valor",314.2,0.01,""
"amplitude.purchasing_power.min","valor",18.37,0.01,""
"causas.cobertura","valor",0.897330663720123,0.005,"parte dos óbitos coberta pelos grupos"
"causas.esperados_iguais_observados","invariante",1,0,""
"causas.grupos","valor",13,0,"grupos de causas além do total"
"exportacao.parish","invariante",1,0,""
"exportacao.whole","invariante",1,0,""
"freguesias.parish.births.soma_exacta","invariante",1,0,"soma das ULS igual ao Continente"
"freguesias.parish.deaths.soma_exacta","invariante",1,0,"soma das ULS igual ao Continente"
"freguesias.parish.pop_total.soma_exacta","invariante",1,0,"soma das ULS igual ao Continente"
"freguesias.pesos_censo_somam_1","invariante",1,0,""
"freguesias.registos_somam_1.births","invariante",1,0,""
"freguesias.registos_somam_1.deaths","invariante",1,0,""
"freguesias.registos_ultimo_ano.births","valor",2025,0,""
"freguesias.registos_ultimo_ano.deaths","valor",2025,0,""
"freguesias.whole.births.sobreposicao_pct","valor",19.464545926054,0.05,"municípios partilhados contados por cada ULS"
"freguesias.whole.deaths.sobreposicao_pct","valor",16.0425543176225,0.05,"municípios partilhados contados por cada ULS"
"freguesias.whole.pop_total.sobreposicao_pct","valor",16.9168404397356,0.05,"municípios partilhados contados por cada ULS"
"identidade.escolaridade_100","invariante",1,0,""
"identidade.neonatal_mais_pos_neonatal","invariante",1,0,""
"identidade.neonatal_precoce","invariante",1,0,""
"identidade.sectores_100","invariante",1,0,""
"ine.ageing_index.max_abs","valor",0.0500000000000114,0.02,"maior diferença face ao INE, 2024"
"ine.ageing_index.p95_abs","valor",0.0474734193247201,0.01,"percentil 95 da diferença"
"ine.birth_rate.max_abs","valor",0.0499545316762662,0.02,"maior diferença face ao INE, 2024"
"ine.birth_rate.p95_abs","valor",0.0479103026629753,0.01,"percentil 95 da diferença"
"ine.death_rate.max_abs","valor",0.0496707866466437,0.02,"maior diferença face ao INE, 2024"
"ine.death_rate.p95_abs","valor",0.0481314970373854,0.01,"percentil 95 da diferença"
"ine.infant_5y.max_abs","valor",0.277498663816141,0.02,"maior diferença face ao INE, 2024"
"ine.infant_5y.p95_abs","valor",0.0467452153826275,0.01,"percentil 95 da diferença"
"ine.municipios_comparados","invariante",1,0,"9 indicadores x 308 municípios"
"ine.old_dependency.max_abs","valor",0.0495836083089785,0.02,"maior diferença face ao INE, 2024"
"ine.old_dependency.p95_abs","valor",0.0483714042067667,0.01,"percentil 95 da diferença"
"ine.pens_1564.max_abs","valor",120.30497382199,5,"maior diferença face ao INE, 2024"
"ine.pens_1564.p95_abs","valor",43.4455647273773,2.5,"percentil 95 da diferença"
"ine.rsi_1564.max_abs","valor",7.28583768670444,5,"maior diferença face ao INE, 2024"
"ine.rsi_1564.p95_abs","valor",3.82746163876232,2.5,"percentil 95 da diferença"
"ine.waste.max_abs","valor",0.499316005471997,0.02,"maior diferença face ao INE, 2024"
"ine.waste.p95_abs","valor",0.477791695069314,0.01,"percentil 95 da diferença"
"ine.youth_dependency.max_abs","valor",0.0500000000000007,0.02,"maior diferença face ao INE, 2024"
"ine.youth_dependency.p95_abs","valor",0.0472476955061499,0.01,"percentil 95 da diferença"
"padronizadas.alentejo.dsr_all","valor",994.331590836583,0.5,"triénio 2024"
"padronizadas.alentejo.dsr_premature","valor",361.857792712547,0.5,"triénio 2024"
"padronizadas.alentejo.life_expectancy","valor",80.8280666970348,0.01,"triénio 2024"
"padronizadas.alentejo.smr_all","valor",113.260120200023,0.5,"triénio 2024"
"padronizadas.alentejo.ypll_rate","valor",3877.12155930231,0.5,"triénio 2024"
"padronizadas.continente.dsr_all","valor",862.727614507436,0.5,"triénio 2024"
"padronizadas.continente.dsr_premature","valor",307.153199441252,0.5,"triénio 2024"
"padronizadas.continente.life_expectancy","valor",82.6142759956062,0.01,"triénio 2024"
"padronizadas.continente.smr_all","valor",99.0870592666298,0.5,"triénio 2024"
"padronizadas.continente.ypll_rate","valor",3126.50385071279,0.5,"triénio 2024"
"padronizadas.matosinhos.dsr_all","valor",828.684138099754,0.5,"triénio 2024"
"padronizadas.matosinhos.dsr_premature","valor",281.452376347976,0.5,"triénio 2024"
"padronizadas.matosinhos.life_expectancy","valor",83.2302032685962,0.01,"triénio 2024"
"padronizadas.matosinhos.smr_all","valor",95.2223056761091,0.5,"triénio 2024"
"padronizadas.matosinhos.ypll_rate","valor",2835.97831244561,0.5,"triénio 2024"
"padronizadas.norte.dsr_all","valor",838.418920998435,0.5,"triénio 2024"
"padronizadas.norte.dsr_premature","valor",292.857757293631,0.5,"triénio 2024"
"padronizadas.norte.life_expectancy","valor",83.0319646369186,0.01,"triénio 2024"
"padronizadas.norte.premature_deaths","valor",33155,0,"linha do INE para o Norte"
"padronizadas.norte.smr_all","valor",96.3895481521585,0.5,"triénio 2024"
"padronizadas.norte.ypll_rate","valor",3000.06866283001,0.5,"triénio 2024"
"padronizadas.portugal.dsr_all","valor",871.179676458421,0.5,"triénio 2024"
"padronizadas.portugal.dsr_premature","valor",311.884616593526,0.5,"triénio 2024"
"padronizadas.portugal.life_expectancy","valor",82.4912437624293,0.01,"triénio 2024"
"padronizadas.portugal.smr_all","valor",100,0.5,"triénio 2024"
"padronizadas.portugal.ypll_rate","valor",3178.69114798874,0.5,"triénio 2024"
"padronizadas.portugal_smr_100","invariante",1,0,""
"padronizadas.regioes_sem_redistribuicao","invariante",1,0,""
"padronizadas.uls_baixo_alentejo.dsr_all","valor",1143.46994882187,0.5,"triénio 2024"
"padronizadas.uls_baixo_alentejo.dsr_premature","valor",429.173587223378,0.5,"triénio 2024"
"padronizadas.uls_baixo_alentejo.life_expectancy","valor",79.1012462241098,0.01,"triénio 2024"
"padronizadas.uls_baixo_alentejo.smr_all","valor",129.744998346673,0.5,"triénio 2024"
"padronizadas.uls_baixo_alentejo.ypll_rate","valor",4685.5530185159,0.5,"triénio 2024"
"particao.2014.componentes_divergentes","valor",0,0,""
"particao.2023.componentes_divergentes","valor",1,0,"waste_total"
"pt_vs_municipios.births.2014","valor",0,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.births.2021","valor",0,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.births.2024","valor",0,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.deaths.2014","valor",0.010492979242982,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.deaths.2021","valor",0.0040052548944125,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.deaths.2024","valor",0.00591271148502326,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.employees_total.2014","valor",1.62584454099162,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.employees_total.2021","valor",0,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.employees_total.2024","valor",0,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.infant_deaths.2014","valor",0,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.infant_deaths.2021","valor",0,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.infant_deaths.2024","valor",0.395256916996045,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.pensioners.2014","valor",0,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.pensioners.2021","valor",0.0667201971718656,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.pensioners.2024","valor",0.0266365953825565,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.pop_total.2014","valor",0,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.pop_total.2021","valor",0,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.pop_total.2024","valor",0,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.rsi.2014","valor",0.141716897086686,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.rsi.2021","valor",0.0969643293427858,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.rsi.2024","valor",0.0725962453576035,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.waste_total.2021","valor",-1.88304448367482e-05,0.02,"diferença percentual face à soma dos municípios"
"pt_vs_municipios.waste_total.2024","valor",-3.62256167618646e-05,0.02,"diferença percentual face à soma dos municípios"
"semanais.excesso_pct.2025","valor",-0.0496277416306555,0.5,"semanas 52"
"semanais.excesso_pct.2026","valor",-0.964818520510696,0.5,"semanas 36"
"semanais.regioes","valor",35,0,""
"semanais.ultimo_ano","valor",2026,0,""
"sns.indicadores","valor",10,0,""
"sns.ultimo_periodo","valor",202607,0,""
"sns.unidades","valor",39,0,""
"sns.valores_0_100","invariante",1,0,""
"tabela.finitos","invariante",1,0,""
"tabela.linhas","valor",670096,0,"áreas x anos x indicadores"
"tabela.negativos","valor",555,0,"variação da população censitária"
"tabela.negativos_esperados","invariante",1,0,"census_population_change"
"tabela.percentagens_ate_100","invariante",1,0,""
"tabela.valores","valor",474580,0,"valores não vazios"
